geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-all-cities-with-a-population-1000@public
opensoft url https://data.opendatasoft.com/explore/dataset/geonames-all-cities-with-a-population-1000%40public/information/
This file is extracted from the download
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"TIME_ZONE_NAME"|"LATITUDE"|"LONGITUDE"
"Hukumati Dahanah-ye Ghori"|"Ḩukūmatī Dahanah-ye Ghōrī"|"AF"|"Afghanistan"|3307|"Asia/Kabul"|"35.90617"|"68.48869"
"Ibrahim Khan"|"Ibrāhīm Khān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.05352"|"69.25654"
"Imam Sahib"|"Imām Şāḩib"|"AF"|"Afghanistan"|9659|"Asia/Kabul"|"37.18897"|"68.93644"
"Injil"|"Injīl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.30157"|"62.2465"
"Istalif"|"Istālif"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.83268"|"69.07756"
"Jabal os Saraj"|"Jabal os Saraj"|"AF"|"Afghanistan"|15032|"Asia/Kabul"|"35.11833"|"69.23778"
"Jalalabad"|"Jalālābād"|"AF"|"Afghanistan"|271900|"Asia/Kabul"|"34.42647"|"70.45153"
"Jalrez"|"Jalrēz"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.4708"|"68.65438"
"Jani Khel"|"Jānī Khēl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.76315"|"68.39722"
"Jawand"|"Jawand"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.06361"|"64.14917"
"Jurm"|"Jurm"|"AF"|"Afghanistan"|12106|"Asia/Kabul"|"36.86477"|"70.83421"
"Ka'i"|"Kā’ī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.12819"|"70.71828"
"Kabul"|"Kabul"|"AF"|"Afghanistan"|4434550|"Asia/Kabul"|"34.52813"|"69.17233"
"Kajran"|"Kajrān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.20357"|"65.47311"
"Kalafgan"|"Kalafgān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.77226"|"69.94489"
"Kalakan"|"Kalakān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.78371"|"69.15001"
"Kalan Deh"|"Kalān Deh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.83676"|"68.40233"
"Kandahar"|"Kandahār"|"AF"|"Afghanistan"|523300|"Asia/Kabul"|"31.61332"|"65.71013"
"Kanday"|"Kanḏay"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.9536"|"70.77897"
"Karbori"|"Karbōṟī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.96597"|"71.2746"
"Karukh"|"Karukh"|"AF"|"Afghanistan"|17484|"Asia/Kabul"|"34.48108"|"62.5863"
"Kazhah"|"Kaz̲h̲ah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.24088"|"70.18274"
"Khadir"|"Khadīr"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.92232"|"65.93398"
"Khakiran"|"Khākirān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.8385"|"67.07377"
"Khamyab"|"Khamyāb"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.5275"|"65.75833"
"Khan Neshin"|"Khān Neshīn"|"AF"|"Afghanistan"|25600|"Asia/Kabul"|"30.5488"|"63.7888"
"Khanabad"|"Khanabad"|"AF"|"Afghanistan"|71531|"Asia/Kabul"|"36.68304"|"69.11279"
"Khanaqah"|"Khānaqāh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.62587"|"69.53695"
"Khanaqah"|"Khānaqāh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.86279"|"66.16656"
"Khandud"|"Khandūd"|"AF"|"Afghanistan"|5521|"Asia/Kabul"|"36.95127"|"72.318"
"Khash"|"Khāsh"|"AF"|"Afghanistan"|15133|"Asia/Kabul"|"31.52919"|"62.79055"
"Khayr Kot"|"Khayr Kōṯ"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.85355"|"68.44971"
"Khinj"|"Khinj"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.42898"|"69.73482"
"Khinjan"|"Khinjān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.58908"|"68.90093"
"Khoshamand"|"Khōshāmand"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.68567"|"68.23801"
"Khoshi"|"Khōshī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.99916"|"69.21582"
"Khost"|"Khōst"|"AF"|"Afghanistan"|96123|"Asia/Kabul"|"33.33951"|"69.92041"
"Khudaydad Khel"|"Khudāydād Khēl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.17835"|"67.68758"
"Khugyani"|"Khūgyāṉī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"31.56267"|"66.5814"
"Khulbisat"|"Khulbisāt"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.4948"|"70.00605"
"Khulm"|"Khulm"|"AF"|"Afghanistan"|64933|"Asia/Kabul"|"36.69736"|"67.69826"
"Khwajah Du Koh"|"Khwājah Dū Kōh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.82881"|"65.62432"
"Khwajah Ghar"|"Khwājah Ghār"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.06588"|"69.42126"
"Kiraman"|"Kirāmān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.2973"|"69.68125"
"Kishk-e Nakhud"|"Kishk-e Nakhūd"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"31.62519"|"65.05511"
"Kotowal"|"Kōṯowāl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.10319"|"70.46073"
"Kuhsan"|"Kuhsān"|"AF"|"Afghanistan"|12087|"Asia/Kabul"|"34.65389"|"61.19778"
"Kunduz"|"Kunduz"|"AF"|"Afghanistan"|161902|"Asia/Kabul"|"36.72895"|"68.857"
"Kuran wa Munjan"|"Kuran wa Munjan"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.02866"|"70.77258"
"Kushk"|"Kushk"|"AF"|"Afghanistan"|16952|"Asia/Kabul"|"33.29565"|"61.95221"
"Kushk-e Kuhnah"|"Kushk-e Kuhnah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.8711"|"62.54762"
